collection,date,id,title,topic_score
frus,1962-09-05 10:15:00,frus1961-63v13d346,346. Memorandum of Conversation,0.099237
frus,1975-06-18 00:00:00,frus1969-76ve06d275,"275. Memorandum of Conversation, Washington, June 18, 1975

",0.0987436
frus,1975-11-08 17:00:00,frus1969-76v28d135,"135. Telegram From the Department of State to All Diplomatic
                                Posts",0.0986173
frus,1978-11-24 10:27:00,frus1977-80v16d30,"30. Telegram From the Embassy in Zaire to the Department of State
",0.098301
frus,1964-03-17 00:00:00,frus1964-68v24d417,"417. Memorandum From the Under Secretary of State (Ball) to Secretary of State
                                Rusk

",0.0980422
frus,1975-06-13 00:00:00,frus1969-76v28d109,"109. Paper Prepared by the National Security Council Interdepartmental
                            Group for Africa",0.0973532
frus,1969-08-01 21:01:00,frus1969-76v41d285,285. Telegram From the Embassy in Spain to the Department of State,0.097023
frus,1972-01-12 00:04:00,frus1969-76v23d274,"274. Telegram From the Mission to the United Nations to the Department
                            of State",0.0967749
frus,1977-10-03 00:00:00,frus1977-80v16d13,"13. Memorandum of Conversation
",0.0966866
frus,1945-07-18 00:00:00,frus1945Berlinv02d1298,"No. 1298The Combined
                                            Chiefs of Staff to the Department of State and the British Foreign
                                            Office",0.096592
