date,topic_score,id,collection,title
1978-01-15 00:00:00,0.340349,rm_1975.03.15_doc_5,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1978-02-15 00:00:00,0.338715,vp_1978.01.12_doc_12,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores na viagem do presidente Ernesto Geisel ?Alemanha. O dossie e constituido, sobretudo, por correspondencia, abordando as seguintes questoes: providencias preliminares de organizac? da comitiva de viagem, recepcoes e discursos; informacoes sobre o projeto de acordo de transferencia de tecnologia para o desenvolvimento da vacina contra a doenca de chagas, do Instituto Behring para a Fundac? Oswaldo Cruz;   visita do presidente Geisel ao Centro de Pesquisa de Karlsuhe (KFK), Acordo Nuclear Brasil-Alemanha e sua repercuss? nos Estados Unidos e na propria Alemanha, e artigos de jornais argentinos e alem?s sobre a viagem."
1979-03-15 00:00:00,0.33779,ag_1974.03.15_doc_II-13,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1977-09-15 00:00:00,0.336631,onu_1977.03.04_doc_I-5,CPDOC,"Documentos referentes ?participac? de Azeredo da Silveira na XXXII?Assembleia Geral das Organizacoes das Nacoes Unidas, no periodo em que esteve a frente do Ministerio das Relcoes Exteriores. O dossie e constituido por correspondencia, que trata da quest? dos direitos humanos, da politica norte-americana, da conferencia sobre acucar e da conferencia sobre direito internacional. H?tambem discursos proferidos pelo titular e pelo presidente dos Estados unidos, Jimmy Carter, na Assembleia. O dossie inclui ainda, um encadernado com telegramas recebidos e expedidos durante sua permanencia na Assembleia, tratando de diversos assuntos no ?bito da politica internacional."
1979-03-15 00:00:00,0.331708,ag_1974.03.15_doc_V-24,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1975-04-15 00:00:00,0.330256,onu_1974.03.12_doc_II-121,CPDOC,"Documentos referentes ?participac? de Azeredo da Silveira na XXIX?Assembleia Geral das Nacoes Unidas. O dossie e constituido por correspondencia e relatorios, que tratam dos temas discutidos nesta assembleia, com enfase na quest? da nova ordem mundial e da situac? energetica. Destaca-se os documentos sobre os conflitos no Oriente Medio e sobre inclus? da quest? palestina no tem?io da assembleia. O dossie inclui ainda dois encadernados de telegramas recebidos e expedidos por Azeredo da Silveira durante sua permanencia na Assembleia, que tratam de assuntos administrativos, felicitacoes pelo anivers?io do titular, entre outros. H?tambem outros encadernados em que constam o relatorio da Delegac? do Brasil ?XXIX?Assembleia Geral da ONU, os anexos ao relatorio com todas as resolucoes da Assembleia, e os discursos proferidos por diversas autoridades durante o evento."
1977-01-15 00:00:00,0.326239,bp_1974.05.06_doc_81,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores nas VI, VIII e IX Reunioes de Chanceleres da Bacia do Prata, ocorridas em Buenos Aires e Assunc?, com o objetivo de realizar a integrac? da regi? da Bacia do Prata, principalmente no que diz respeito ao aproveitamento dos rios internacionais. O dossie e constituido por telegramas, convites e discursos."
1975-03-15 00:00:00,0.32443,ai_1974.04.02_doc_I-16,CPDOC,"Documentos referentes ?Organizac? dos Estados Americanos (OEA) no periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. Tratam: da Conferencia Interamericana de Chanceleres realizada em Washington, em abril de 1974, dando continuidade ao di?ogo iniciado na Conferencia de Tlatelolco (Mexico), em fevereiro de 1974, e onde se discutiu a estrutura do comercio internacional, o Canal do Panam?e a cooperac? para o desenvolvimento; da IV Assembleia Geral realizada em Atlanta, em abril de 1974, abordando a admiss? da Gr?Bretanha como observadora da OEA e a reforma do sistema interamericano; e da proposta feita ao Conselho Permanente por Costa Rica, Venezuela e Colombia, de convocac? de org? de consulta para analisar a suspens? das sancoes contra Cuba estabelecidas em 1964, contendo a posic? de diversos paises frente ?quest? e da sugest? brasileira de novo projeto (set-dez/1974). Inclui ainda documentos sobre a reforma do Tratado Interamericano de Assistencia Reciproca (TIAR); sobre a V Assembleia Geral em Washington, em maio de 1975, destacando-se a reforma do sistema interamericano, a lei de comercio exterior norte-americana e a eleic? do secret?io-geral; sobre a discuss? relativa ?direitos humanos na VII Assembleia Geral em junho de 1977; e sobre a proposta mexicana de novo estatuto para a Comiss? Interamericana de Direitos Humanos, que n? conta com o apoio do Brasil."
1978-04-15 00:00:00,0.323985,d_1974.03.26_doc_XI-11,CPDOC,"Documentos referentes aos despachos de Azeredo da Silveira como ministro das Relacoes Exteriores com o presidente da Republica Ernesto Geisel. O dossie e composto por documentos do tipo ""Informacoes ao Senhor Presidente da Republica"" abordando diversos asuntos, tais como: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas, viagens do presidente Geisel e de Azeredo da Silveira, assim como de outros chanceleres e presidentes ao Brasil."
1979-03-15 00:00:00,0.322021,ag_1974.03.15_doc_V-41,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
